,id,text,withheld
0,1505408217945292800,@Chris_1791 @nypost I would say bring it on and make sure that Trumps investigation with Ukraine comes out completely and how he helped Putin in this war. If I were Biden I would call the Republicans bluff and make them look like idiots.,
1,1505408217714733058,"RT @AdeldMeyer: Stand with Ukraine?
You couldn't even stand with your own family, friends and neighbors the past two years. 🙄",
2,1505408217614110724,"RT @cepa: 🇺🇦 “For the sake of everything that is good in this world, for the sake of hope, Ukraine should win. Ukraine must win, but the wo…",
3,1505408217559580675,"RT @andersostlund: ""No money, no war"". That's exactly how it is. Europe has to stop financing Russia's war against Ukraine. It cannot conti…",
4,1505408217534418947,"RT @McFaul: Putin has escalated his attacks on civilians in Ukraine, so the free world must escalate sanctions on Russia. Maintaining the s…",
5,1505408217358032908,"RT @visegrad24: Belarusian railway workers today sabotaged the railway lines leading to Ukraine, making it impossible for the Russians to r…",
6,1505408216888270848,"RT @Ataa_Moazen: دخترم!
دوباره برخواهم گشت
تا با هم زیباترین ترانه‌های را برای میهن آزاد بخوانیم
دوباره برخواهم گشت #ایران
Моя дочка!
Я пов…",
7,1505408216758333440,RT @Arcturus6thdim1: This is news coming out of Ukraine. Look familiar? https://t.co/JsOhcZxZH0,
8,1505408216561119232,RT @HannaLiubakova: 11 employees of the Belarusian embassy left #Ukraine. The last employee crossed the border today at 9 am. This is quite…,
9,1505408216393465864,RT @Tsihanouskaya: Belarusians now not only have to fight against the regime of Lukashenka but also for Ukrainians. Because we understand t…,
10,1505408216385085446,"RT @BBCWorld: Ukraine's Jewish children, who were airlifted to Israel, have been dressing up for the joyful Jewish holiday of Purim https:/…",
11,1505408216242561024,RT @LeierKp: GASTKOMMENTAR - Deutschland kommt eine besondere Verantwortung zu https://t.co/POTQR0iXE2 via @NZZ,
12,1505408215911223301,"@dalyvalet Derriere ces belles geste de bravoure, il y aura des zones decimees. Ukraine jouerait le role d'idiot utile",
13,1505408215747796995,"RT @flagnetwork_NFT: 🕊️The #FlagNetwork Charity Foundation would like to announce an event to support the people of Ukraine

🎁Total budget:…",
14,1505408215399505920,RT @RWApodcast: So has anyone mentioned that Zelensky just banned all opposition parties in Ukraine through the National Security and Defen…,
15,1505408214820564994,RT @HannaLiubakova: 11 employees of the Belarusian embassy left #Ukraine. The last employee crossed the border today at 9 am. This is quite…,
16,1505408213507792907,RT @YourAnonOne: The #Anonymous collective has sent 7.000.000 anti-war texts to Russian cell phone users to tell them the truth about Putin…,
17,1505408213096804353,"RT @McFaul: Putin will lose his unprovoked, senseless, inhumane war in Ukraine. The only unknowns are when and at what cost. The West must…",
18,1505408213042311170,"RT @UAWeapons: #Ukraine: A Russian cargo truck, full of artillery projectiles, was targeted by the Ukrainian forces near #Mykolaiv. The amm…",
