,id,text
0,1505424835933085699,RT @Youblacksoul: In this video a large group of armed civilians have 5 hostages. You can see how they are been violently abused by the hoo…
1,1505424835308142594,"RT @ABNPoland: Niemcy wiedzieli o ataku Rosji na Ukrainę z wyprzedzeniem.

Obiecali Rosjanom iż bedą hamować sankcje i pomoc wojskową.

Oba…"
2,1505424835043901442,RT @mishazelinsky: Hey @Mastercard — you idiots have turned off my card. I’m in Ukraine. Your ‘24-7’ customer service is closed. DM me as I…
3,1505424834817372161,Kilmeade: America ought to be 'all-in' on a Ukraine victory - Newsworldpress @ https://t.co/UbNfErMXs0 https://t.co/miHK0vXT0S
4,1505424834800816128,RT @vanbadham: “Putin Cut Off From Precious Botox Supply Due to War Against Ukraine” https://t.co/CPQWnbWN8m via @thedailybeast
5,1505424834612035585,RT @RWApodcast: So has anyone mentioned that Zelensky just banned all opposition parties in Ukraine through the National Security and Defen…
6,1505424834070663168,"RT @ajplus: Can sanctions actually force Putin to retreat from Ukraine? 

The Russian economy will be hurting, but history shows us U.S. sa…"
7,1505424833307308034,"@SCMPNews Taiwan will send troops to support Ukraine? Wow, such a true friend!! 
Taiwan #1!"
8,1505424832749465600,RT @InnaSovsun: #Mariupol city council informed that thousand of #Ukraine citizens from the captured parts of Mariupol have been forcibly i…
9,1505424832728551429,"RT @juertiss: „Britische Außenministerin warnt vor Friedensgesprächen: Russland lügt und lügt“
Kriegsverbrecher lügen immer! https://t.co/c…"
10,1505424832502149121,"RT @superumka: Okhtyrka railway station (Sumy region). fascists (1943), Ukraine (2017), racists (2022) https://t.co/BOc2cHI1z8"
11,1505424831885545472,"RT @olgatokariuk: As the ambassador of Belarus was leaving Ukraine today, a Ukrainian border guard tossed a bag with coins at him, told him…"
12,1505424831747018752,"RT @twinkrevsam: Our media, politicians and political activists care more about supporting Nazis in Ukraine than they have cared for childr…"
13,1505424831562625025,RT @Li_Yang_China: This is one of the important reasons why the US provoked the Russia-Ukraine war! https://t.co/Qh3Wud5fum
14,1505424830836797443,"RT @KyivIndependent: ⚡️Russia claims Ukraine plans to attack Western diplomats in Lviv.

Russia’s Defense Ministry spokesman Igor Konashenk…"
15,1505424830820192256,RT @OlegNikolenko_: Russia starts conscripting population living in occupied Donbas to reinforce its armed forces fighting in Ukraine. This…
16,1505424829855543299,"RT @GordonBrown: We must move with speed to assure people in Ukraine that we are committed to action and not just warm words. 

We must mak…"
17,1505424829738110976,"RT @mehdirhasan: If you blame ordinary Russians, who live in a dictatorship, for the crimes of their government in Ukraine, then you have t…"
18,1505424829356331016,"RT @cepa: 🇺🇦 “For the sake of everything that is good in this world, for the sake of hope, Ukraine should win. Ukraine must win, but the wo…"
19,1505424829264109569,"RT @LoupBureau: Je voudrais vous parler aujourd’hui des fixeurs en Ukraine.

Plus particulièrement, d’un fixeur : Dima ⬇️

🇺🇦 https://t.co/…"
20,1505424828420919305,"RT @Judicio88716056: @SantaMonicaPD Thank you so much, @SantaMonicaPD ! We are in awe of your integrity&amp; professionalism! 
The Tyrant gov o…"
21,1505424828353978373,RT @Logically_JC: I like how Joe Biden helps Ukraine without asking for a favor first.
22,1505424828349751297,@LiuXininBeijing USA is in its own trap. Since two decades they point China as a threat and today ask them to support sanctions against a close allie of Beijing. USA has missiles in Taiwan and Always organizes military manœuvre in China sea. Same situation they wanted to create in Ukraine...
23,1505424828240646144,RT @nexta_tv: #Australian authorities have announced that they will stop exporting alumina and aluminum ores to #Russia as part of new sanc…
24,1505424828169396225,RT @andersostlund: Russia's destruction of civilian factories and infrastructure tells a lot about Russia's plans for Ukraine. Russia has n…
25,1505424827372429315,RT @guardian: Ukraine crisis: claims Mariupol women and children forcibly sent to Russia https://t.co/AndMMSu2Xw
26,1505424826944856071,"No Nazi deep state in America , they only integrated into the intelligence department. Wonder why America backs Ukraine fascist against Russia, completely random https://t.co/8WtLTGopKl"
27,1505424826936139776,"RT @LibyaLiberty: ""Russia’s war on Ukraine has sent wheat prices soaring. U.N. agencies have cut food aid. As famine looms, Yemeni parents…"
28,1505424826722308099,"RT @gg_gidey: While all eyes are focused on Russia &amp; Ukraine, the int’l community must also remember Tigray, where 500,000 of the populatio…"
29,1505424826575507460,"RT @KyivIndependent: ⚡️Strollers have been put in central Lviv on March 18, representing the number of children killed in Russia's war agai…"
30,1505424826432778243,"RT @AdeldMeyer: Stand with Ukraine?
You couldn't even stand with your own family, friends and neighbors the past two years. 🙄"
31,1505424826403463170,"RT @flagnetwork_NFT: 🕊️The #FlagNetwork Charity Foundation would like to announce an event to support the people of Ukraine

🎁Total budget:…"
32,1505424825740845056,"RT @Amy_Siskind: Putin has made no attempts to pick up the bodies of dead Russian soldiers in Ukraine, despite multiple requests made throu…"
33,1505424825489240064,"RT @Ginger_Kip: @peterjukes Cheered me up, but let's help protect those in Ukraine. Ukraine's territorial defense units urgently need helme…"
34,1505424825279471623,"RT @mysteryisinart: Just dropped 3❓HAND - DRAWN PAINTING.UNIQUE DRAWINGS FOR SUPPORT IN THIS HARD TIMES #UKRAINE 2022. 0.02ETH📌 floor
Opens…"
35,1505424825212362753,"RT @Blake_Allen13: According to multiple Russian social media accounts - the deputy commander of the Russian Black Sea Fleet, Captain Andre…"
36,1505424825095008257,RT @BrianKarem: NOW: rough Ukrainian translation “We are on our land. You will be in it.” Signs seem across Ukraine https://t.co/wN7ds3Iio5
37,1505424824608436231,"RT @BillyBaldwin: Russia aided in the election of Trump.
Trump has continuously sucked up to Putin.
Trump withheld military aid to Ukraine.…"
38,1505424824394522625,"RT @Amstel20111: When my daughter got back home from Ukraine.
I am grateful to God and FGN, through all the agencies of government used for…"
39,1505424824369246210,RT @anthonyzenkus: Russian restaurants in NY had their doors kicked in. 20 yr old Russian prodigy pianist canceled. Russian astronoaut Yuri…
40,1505424824365350914,"RT @Roblox_RTC: Roblox YouTuber @DenisDailyYT has managed to raise over $25,000 for Ukraine relief using the power of his influence and str…"
41,1505424823832522756,"RT @Planetes360: Vladimir Poutine ""Sortir les gens de leur misère et du génocide est la raison principale, le but de l'opération militaire…"
42,1505424823643631617,RT @ReutersJapan: 焦点：ウクライナ侵攻による正教会の混乱、孤立するロシア総主教 https://t.co/D7vkAehOcz
43,1505424823614377987,"RT @olgatokariuk: As the ambassador of Belarus was leaving Ukraine today, a Ukrainian border guard tossed a bag with coins at him, told him…"
44,1505424822318247936,"Fact check: Video shows Putin justifying military operation in Ukraine, not threatening Kenya - USA TODAY https://t.co/lihsPBCoFr"
45,1505424822121250820,"RT @PeterSchiff: I understand times are hard, but doesn't the President of the #Ukraine own a suit? I don't have much respect for current m…"
46,1505424822028939268,"Guerre en Ukraine EN DIRECT : Des orphelins se retrouvent livrés à eux-mêmes à Marioupol, sans eau ni électricité
Source : 20 Minutes 
https://t.co/yya3oAyNZJ"
47,1505424821659840512,"@Fawkesyouguy At best here, Russia is in for a long bloody insurgency if they try to keep half of Ukraine, and frankly I don't see them being able to pull it off militarily. Except for some places in the south they haven't been able to move off the roads or even supply what they've got."
48,1505424821433212930,"RT @MSNBC: If the history of strongmen is any indication, it may be downhill for the Russian leader from here. https://t.co/p26N6xGxGa"
49,1505424821349347328,"Russia-Ukraine War: यूक्रेन का दावा- युद्धबंदी बनाए गए रूस के 562 सैनिक, पढ़ें जंग के मैदान से 10 बड़े अपडेट https://t.co/9UzJHnfUo8"
50,1505424821341270016,"RT @DSORennie: For China it is always, always about China. Ukraine and NATO and Russia are only a proxy for China’s resentment at Western “…"
51,1505424820946837504,RT @Youblacksoul: I can't find the video but here is a picture. Young women are víctims of God knows what. Zelensky's Ukraine. https://t.co…
